광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
경기도,안양시 동안구 갑,"비산1동, 비산2동, 비산3동, 부흥동,   달안동, 부림동, 관양1동, 관양2동",2,미래통합당,임호영,林鎬英,40490,39.76,2.0,False,False,145827,102910,1089
경기도,안양시 동안구 갑,"비산1동, 비산2동, 비산3동, 부흥동,   달안동, 부림동, 관양1동, 관양2동",6,정의당,이성재,李性宰,4344,4.26,3.0,False,False,145827,102910,1089
경기도,안양시 동안구 갑,"비산1동, 비산2동, 비산3동, 부흥동,   달안동, 부림동, 관양1동, 관양2동",7,국가혁명배당금당,유정희,柳貞姬,642,0.63,4.0,False,False,145827,102910,1089
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",1,더불어민주당,이재정,李在汀,49736,54.15,1.0,True,False,122068,92555,713
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",2,미래통합당,심재철,沈在哲,38427,41.73,2.0,False,False,122068,92555,713
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",3,민생당,문태환,文泰煥,547,0.59,4.0,False,False,122068,92555,713
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",6,정의당,추혜선,秋惠仙,2980,3.24,3.0,False,False,122068,92555,713
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",7,국가혁명배당금당,이현희,李賢熙,252,0.27,5.0,False,False,122068,92555,713
경기도,안양시 동안구 을,"호계1동, 호계2동, 호계3동, 평촌동, 평안동, 귀인동, 범계동, 신촌동, 갈산동",8,기독자유통일당,이주애,李主愛,0,0.0,,False,True,122068,92555,713
경기도,부천시 갑,"부천동 [5] , 심곡동 [6]",1,더불어민주당,김경협,金炅俠,48002,59.17,1.0,True,False,138380,82208,1090
경기도,부천시 갑,"부천동 [5] , 심곡동 [6]",2,미래통합당,이음재,李崟宰,29266,36.07,2.0,False,False,138380,82208,1090
